time,open,high,low,close,Volume
2024-12-01T03:00:00+03:00,237.6,238.67,237.01,238.57,28146.21
2024-12-01T03:15:00+03:00,238.56,239.08,238.31,239.08,20379.939
2024-12-01T03:30:00+03:00,239.08,239.89,237.58,238.19,33853.551
2024-12-01T03:45:00+03:00,238.19,239.28,237.46,237.57,37463.193
2024-12-01T04:00:00+03:00,237.57,238.52,237.01,237.43,31422.64
2024-12-01T04:15:00+03:00,237.44,238.32,236.51,238.22,44398.646
2024-12-01T04:30:00+03:00,238.21,239.5,237.91,239.22,28981.395
2024-12-01T04:45:00+03:00,239.22,239.68,236.74,236.89,26239.975
2024-12-01T05:00:00+03:00,236.9,237.4,235.49,236.26,54868.113
2024-12-01T05:15:00+03:00,236.28,236.74,235.26,236.24,31519.334
2024-12-01T05:30:00+03:00,236.25,236.3,234.6,234.8,47515.145
2024-12-01T05:45:00+03:00,234.81,235.45,234.1,234.56,27950.403
2024-12-01T06:00:00+03:00,234.57,236.1,234.5,235.93,22381.719
2024-12-01T06:15:00+03:00,235.94,236.26,235.23,235.56,19635.649
2024-12-01T06:30:00+03:00,235.55,235.84,235.34,235.69,12484.465
2024-12-01T06:45:00+03:00,235.68,236.45,235.54,235.67,20235.539
2024-12-01T07:00:00+03:00,235.66,235.75,235.29,235.64,12665.842
2024-12-01T07:15:00+03:00,235.64,236.35,235.04,236.31,17022.414
2024-12-01T07:30:00+03:00,236.31,236.89,236.27,236.28,10975.409
2024-12-01T07:45:00+03:00,236.28,236.86,236.24,236.72,12489.689
2024-12-01T08:00:00+03:00,236.71,236.71,236.03,236.31,10903.71
2024-12-01T08:15:00+03:00,236.31,236.76,236.14,236.22,12164.982
2024-12-01T08:30:00+03:00,236.22,236.33,235.55,236.2,25666.972
2024-12-01T08:45:00+03:00,236.19,236.28,235.21,235.31,22799.686
2024-12-01T09:00:00+03:00,235.31,236.24,235.02,236.1,16266.988
2024-12-01T09:15:00+03:00,236.1,236.46,236.02,236.06,11855.21
2024-12-01T09:30:00+03:00,236.05,236.33,235.86,235.9,15647.566
2024-12-01T09:45:00+03:00,235.9,236.31,235.58,235.61,11013.609
2024-12-01T10:00:00+03:00,235.6,235.79,235.3,235.38,11404.028
